494001,1
494221,1
494331,2
494228,2
494230,2
494226,3
494229,3
494111,4
494446,5
494447,5
494448,5
494444,6
494552,7
495116,8
495001,9
495004,9
495224,10
495220,11
495112,12
495222,13
495550,14
495668,15
495113,16
495009,17
495115,18
495551,19
495663,19
495334,20
495335,21
495119,22
495117,22
495118,22
495442,23
495006,24
495330,25
494449,26
494441,26
494556,26
494553,26
493776,27
493773,27
493770,27
491228,28
491226,28
491335,29
491111,30
491107,30
490042,30
491993,31
491338,31
